State,Year,Population,House_Income,Per_Cap_Income,Pov_Rate,Unemp_Rate,Geo,Lat,Lng,Crime_Prop,Crime_Viol,Burglary,Larceny,Motor,Assault,Murder,Rape,Robbery,Crime_Tot,All causes,Alzheimer,CLRD,Cancer,Diabetes,Heart,Pneumonia,Kidney,Stroke,Suicide,Injuries
New Jersey,2011,8753064.0,71180.0,35678.0,9.198721727614467,4.6012573425716985,North,40.1907,-74.6728,2167.4581609365587,310.7826013839268,493.97559528868976,1474.5236639421348,198.95890170573412,155.46556040262016,4.341336930702209,11.493118295490586,139.4825857551139,2478.240762320486,806.094871464438,22.392158905727182,36.06737023743914,190.88173010045398,25.38539647373765,209.41238405203026,14.360685583928097,17.02261059670077,39.04918323457935,7.8715293296153215,30.674972786672182
New Mexico,2011,2037136.0,44631.0,23537.0,18.57023782408244,3.873133654306831,South,34.4071,-106.1126,3610.4118723541287,584.3497930427816,1051.4271015779016,2293.90673965803,265.0780311181973,450.14176765812397,7.75598683642133,42.01977678466239,84.43226176357395,4194.76166539691,807.604401473441,20.76444577092545,50.266648863895185,163.3666088076594,30.042176860062362,163.6120514290651,17.426426119807417,13.15572450734757,35.68735715239434,20.61718019808201,65.58226843961326
New York,2011,19302448.0,56951.0,31796.0,14.102392608440132,4.162352878764393,North,42.9538,-75.5268,1926.372240453646,401.31179216232056,337.92086889704353,1488.7282690775803,99.72310247902236,235.91826280272844,3.983950636727528,14.252078285614342,147.15750043725023,2327.6840326159663,772.8242552447232,13.278108559080176,36.07314471200751,183.7538948427681,20.660591858607773,230.5458872366863,25.463091520826787,11.3819760063594,32.40003547736536,8.589584077625801,28.685480722445153
North Carolina,2011,9418736.0,46291.0,25256.0,15.644944289764572,4.8386747436174025,South,35.5557,-79.3877,3586.5322055953156,354.8352984944052,1120.4688187459549,2287.49377835837,178.56960849099073,228.43829575433477,5.287333671949187,20.798969203510957,100.31069986461029,3941.3675040897206,848.1180489611344,30.02526028970341,49.98547575810596,194.12371256610228,24.185835551606928,180.5231614942812,17.189143001778582,18.10221668809913,45.643067180139674,12.878585831474625,45.62183290836477
North Dakota,2011,666783.0,49415.0,27305.0,11.831135466861033,1.9154657512264108,North,47.4501,-100.4659,1999.7510434429194,254.80553643389229,368.6356730750484,1483.3911482446313,147.72422212323949,197.66550736896411,3.5993719096017744,39.893038664753,13.647618490573393,2254.5565798768116,894.5938933656076,61.489270122363656,51.291049711825295,198.1154288576643,31.044582720315304,193.4662401410954,17.996859548008874,16.497121252341472,50.541180563991595,15.897225934074507,44.69220121088871
Ohio,2011,11525536.0,48071.0,25618.0,14.352417102336931,4.736335038995151,North,40.2862,-82.7937,3301.9895994424905,305.56496461422705,979.5726636921702,2140.8462044628554,181.57073128746464,130.5622575817732,4.338193035013729,31.92042435163102,138.74408964580908,3607.554564056717,966.7836706249498,35.026570564700855,60.699996945912105,218.12434580049037,31.82498410486072,228.1716008695821,19.877600486432904,16.85821813406335,49.377313124526275,12.710905592590224,45.76793651939486
Oklahoma,2011,3714520.0,44287.0,23770.0,15.777166363352466,3.1461938554645013,South,35.5889,-97.4943,3435.652520379484,466.035988499187,981.6073140001939,2155.4332726704934,298.6119337087968,333.8520185649828,5.707332306731422,37.95914411552502,88.5174935119477,3901.6885088786707,1000.8022570883992,30.42115805003069,70.99167590967339,215.29026630627914,32.871003521316354,253.03403939136143,23.233149909005736,14.806758342935293,50.181450093147966,18.65651551209847,60.86923747886672
Oregon,2011,3801991.0,49850.0,26561.0,14.475889080221386,5.03094299802393,North,43.9336,-120.5583,3205.3994867426045,253.6302689827514,544.5567861680893,2421.336610212912,239.50609036160262,159.99511834720283,2.2093687228612584,32.588188662203564,58.837593250483756,3459.0297557253557,862.3902581568448,34.82385939367032,53.208963408908645,205.20827114004211,29.27413557791168,164.5190638273473,10.547105450801961,8.311434719335212,50.31574246230462,17.25411764520221,45.292058818655796
Pennsylvania,2011,12660739.0,51651.0,27824.0,12.233638178624489,4.017569590527062,North,40.8781,-77.7996,2238.7476749974862,364.8207264994563,457.840573129262,1647.644738589114,133.2623632791103,205.72258854716142,5.0470987515025785,26.372868124048683,127.67817107674362,2603.5684014969424,1012.8713655656276,27.61292212089673,52.34291615994928,228.22522445174803,27.344375395464674,252.22856264551385,21.886558122713062,22.692198299009245,53.906805913935976,13.798562627347426,49.096660155461706
Rhode Island,2011,1053959.0,55975.0,29685.0,12.282640975597722,4.78775739853258,North,41.6762,-71.5562,2654.3727033025,245.36058803046419,648.602080346579,1780.429789014563,225.34083394135826,142.60516775320482,1.8976070226640696,30.266832011491907,70.59098124310339,2899.7332913329647,909.0486442072224,30.361712362625113,49.907064696065035,205.89036195905155,17.078463203976625,226.76403920835634,21.442959356103984,16.509181097177404,38.33166185781421,9.582915464453553,51.33026996306307
South Carolina,2011,4575864.0,44587.0,23854.0,16.47131558105748,4.965488484797625,South,33.9169,-80.8964,4004.555205312046,609.5897955009153,1034.7991111623946,2671.735873268961,298.02022088069054,464.7209794696696,6.9932148333079835,36.67067028215873,101.20493091577897,4614.145000812961,919.432920209167,34.091922312376425,52.49281884251804,208.55077860705651,23.82063802595532,203.13103711124282,16.78371559993916,17.526744675978133,49.97963226179799,14.37979800098954,49.93592466908982
South Dakota,2011,807697.0,48010.0,24925.0,13.289265652837635,2.5947849255351945,North,44.4443,-100.2263,1894.1509006471485,260.6175335552813,362.3883708866072,1414.267974252721,117.49455550782038,175.1894584231463,2.4761760907865202,62.275828683280984,20.676070358067445,2154.76843420243,905.5375964006304,52.494933124674226,60.17107900611244,206.14165955797782,32.56171559384274,201.1893073764048,22.03796720800003,6.0666314224269735,54.971109215460736,15.847526981033731,50.885418665662996
Tennessee,2011,6297991.0,43989.0,24197.0,16.452849805596742,4.558548908691677,South,35.85800000000001,-86.3505,3666.248490987047,617.5778911084503,997.6197171447211,2444.080977568879,224.54779627344655,449.9530088245601,6.033670102100813,33.26457595763474,128.32663622415467,4283.826382095496,961.2747938191718,41.1083470903658,58.082013772328345,215.33851032813482,27.754882469663734,226.0244576405397,23.499557239761057,12.861244165004365,51.09565891726425,15.163565651332307,55.335106067950875
Texas,2011,24774187.0,50920.0,25548.0,16.630620411479093,3.594216835450544,South,31.4757,-99.3312,3603.7913171479654,422.7545388270461,870.8862979035397,2474.878388542074,258.0266307023516,272.4529365988882,4.561199122296122,30.216935070361743,115.52346803550002,4026.545855975011,680.7085132601931,21.857427652419034,36.71967116418392,150.765795059188,20.54961480673412,153.76488439358272,12.33138346780058,13.711852582690199,36.590504463375524,11.68958642315891,37.983082956465935
Utah,2011,2715379.0,57783.0,23650.0,11.200093983197188,3.2206553854913067,South,39.3055,-111.6703,3096.5843073839783,204.28087570832656,485.0151673118191,2383.7188105233195,227.85032954884014,129.52151430794746,1.8413635812901255,33.181371734848064,39.73662608424091,3300.8651830923054,562.2051286395011,14.80456319357261,23.827244741894226,101.12768788445369,20.660099382075213,111.80759665593641,13.1841632420373,8.396617930682973,28.79892641137757,18.487290356152858,38.96325338009906
Vermont,2011,624958.0,53422.0,28376.0,10.842488615234942,3.542798076030709,North,44.0687,-72.6658,2413.9222155728867,148.00994626838923,614.1212689492734,1715.3152691860894,84.4856774375238,107.04719357140799,1.7601182799484127,23.361569897497112,15.841064519535713,2561.932161841276,869.3384195417932,41.122763449703825,55.84375270018147,215.5344839173192,26.881806457393942,189.93276348170602,10.880731185135641,6.880462367071067,36.32244086802634,19.20129032670995,48.16323656949747
Virginia,2011,7926192.0,63302.0,33040.0,10.325538417439297,3.3475217355320184,South,37.5215,-78.8537,2307.564590915789,202.0390119240109,386.76832456241283,1797.534049137341,123.26221721603514,109.6869720037062,3.835385264449814,20.072690643880442,68.44396401197447,2509.6036028398003,767.1275184855476,22.797832805463205,39.26223336502573,181.37335053200832,20.7287433864837,167.4448461505853,17.92790283152364,17.902670033731198,42.2270871056366,13.297684436612187,35.43946449947213
Washington,2011,6652845.0,58890.0,30481.0,12.27308016344887,4.29984465292668,South,47.3826,-120.4472,3670.7453728442497,302.9080040193331,850.1776307730001,2447.494267490074,373.07347458117545,181.00526917431566,2.4500796275878964,34.87229899388908,84.58035622354045,3973.6533768635827,746.9135384936819,47.167790621906875,46.295983147059644,180.40402263993823,24.54588976595727,156.91031430914146,11.032873905825253,7.3953323728419935,38.43468471007515,15.346817789983087,40.719421540709284
West Virginia,2011,1846372.0,39550.0,22010.0,16.971823662837178,3.3668188209093293,South,38.6409,-80.6227,2112.737844811338,297.7189862064633,554.8719326332939,1443.6960699144051,114.16984226363918,229.422889861848,4.711943205377898,20.14761922299515,43.43653391624223,2410.4568310178015,1184.3225525517066,33.03776270437376,85.08577903044457,258.9943954955989,42.78661071550045,266.1435507037585,24.642921361459127,24.10131869417431,56.814119798177174,16.573041618915365,77.55750195518563
Wisconsin,2011,5664893.0,52374.0,27192.0,11.679920521005428,3.881185399265264,North,44.6243,-89.9941,2469.8083441293593,251.86706968692965,479.56775176512605,1844.2007642509755,146.0398281132583,147.22255124677554,2.4360566033639115,21.006575057993153,81.20188677879706,2721.675413816289,854.5615954264273,31.898219436801373,46.161507375337884,204.91119602788612,21.130143146569587,198.87401227172344,17.405447905194322,17.281879816617895,45.084699746314705,13.151175141348656,47.30892534069047
Wyoming,2011,554697.0,56380.0,28952.0,9.897295280125906,2.555088633974945,North,42.9957,-107.5512,2321.627843669607,224.44686017771866,336.03931515764464,1891.66337658217,93.9251519297923,182.0813885779083,3.24501484594292,26.320675972648132,12.799780781219296,2546.074703847326,790.8822293973105,27.582626190514823,58.95110303462971,168.74077198903186,19.47008907565752,166.937985963508,20.9123178960766,15.323681216952679,38.57962094621028,23.796775536914748,57.14831700910587
