State_Name,House_Income,Population,Med_Age,Per_Cap_Income,Pov_Rate,Unemp_Rate,Year,Lat,Lng,Geo
District of Columbia,69235.0,633736.0,33.7,46502.0,17.259237284926215,6.074453715742833,2014,38.9101,-77.0147,South
Florida,47212.0,19361792.0,41.2,26499.0,16.316976238563043,5.29344081374286,2014,28.6305,-82.4497,South
Georgia,49342.0,9907756.0,35.8,25427.0,17.97973224209397,5.2412574552703965,2014,32.6415,-83.4426,South
Hawaii,68201.0,1392704.0,38.2,29552.0,11.039818942144203,3.3233910436101284,2014,20.2927,-156.3737,South
Idaho,47334.0,1599464.0,35.2,23087.0,15.293748405715915,3.8661076460614305,2014,44.3509,-114.613,North
Illinois,57166.0,12868747.0,37.0,30019.0,14.068735674110307,5.203000727265833,2014,40.0417,-89.1965,North
Indiana,48737.0,6542411.0,37.2,24953.0,15.037667306441005,4.439785271821046,2014,39.8942,-86.2816,North
Iowa,52716.0,3078116.0,38.0,27621.0,12.145968508009444,2.904828797875064,2014,42.0751,-93.49600000000001,North
Kansas,51872.0,2882946.0,36.0,27367.0,13.391232440704751,3.39760092627472,2014,38.4937,-98.3804,South
Kentucky,43342.0,4383272.0,38.3,23741.0,18.339404901178845,4.4002973121449,2014,37.5347,-85.3021,South
Louisiana,44991.0,4601049.0,36.0,24775.0,19.009534564835107,4.121755712664656,2014,31.0689,-91.9968,South
Maine,48804.0,1328535.0,43.5,27332.0,13.53957554750157,3.9088921255367755,2014,45.3695,-69.2428,North
Maryland,74149.0,5887776.0,38.1,36670.0,9.738532851793275,4.380567467240602,2014,39.055,-76.7909,South
Massachusetts,67846.0,6657291.0,39.3,36441.0,11.157451281609893,4.642278668605593,2014,42.2596,-71.8083,North
Michigan,49087.0,9889024.0,39.3,26143.0,16.516452988687256,5.609724478371172,2014,44.3467,-85.4102,North
Minnesota,60828.0,5383661.0,37.6,31642.0,11.251841451384104,3.5665321423470013,2014,46.2807,-94.3053,North
Mississippi,39464.0,2984345.0,36.3,20956.0,21.905175172441524,4.932740685141966,2014,32.7364,-89.6678,South
Missouri,47764.0,6028076.0,38.1,26006.0,15.134032815777372,4.222474965478206,2014,38.3566,-92.458,North
Montana,46766.0,1006370.0,39.8,25977.0,14.914594035990739,3.5060663573039736,2014,47.0527,-109.6333,South
Nebraska,52400.0,1855617.0,36.2,27339.0,12.489754081795974,2.9523872652600187,2014,41.5378,-99.7951,North
Nevada,52205.0,2761584.0,36.9,26515.0,15.338226177440193,6.017090191716059,2014,39.3289,-116.6312,South
New Hampshire,65986.0,1321069.0,41.8,33821.0,8.581989282921635,3.635616307702323,2014,43.6805,-71.5811,North
New Jersey,72062.0,8874374.0,39.3,36359.0,10.532179509225102,5.105678439966582,2014,40.1907,-74.6728,North
New Mexico,44968.0,2080085.0,36.8,23948.0,20.485509005641596,4.476067083797056,2014,34.4071,-106.1126,South
New York,58687.0,19594330.0,38.1,32829.0,15.200933127083191,4.557910375093203,2014,42.9538,-75.5268,North
North Carolina,46693.0,9750405.0,37.8,25608.0,17.118745323912187,5.186123037966115,2014,35.5557,-79.3877,South
North Dakota,55579.0,704925.0,35.9,30894.0,11.471433131184169,1.7325247366741143,2014,47.4501,-100.4659,North
Ohio,48849.0,11560380.0,39.1,26520.0,15.488798811111746,4.641482373416791,2014,40.2862,-82.7937,North
Oklahoma,46235.0,3818851.0,36.2,24695.0,16.379481681793816,3.2681034164464653,2014,35.5889,-97.4943,South
Oregon,50521.0,3900343.0,38.9,27173.0,16.378456971604805,5.287278580371009,2014,43.9336,-120.5583,North
Pennsylvania,53115.0,12758729.0,40.4,28912.0,13.072289567401267,4.361468920611136,2014,40.8781,-77.7996,North
Rhode Island,56423.0,1053252.0,39.7,30765.0,13.671561981368182,5.104286533517145,2014,41.6762,-71.5562,North
South Carolina,45033.0,4727273.0,38.3,24222.0,17.772212436218513,5.122297781405897,2014,33.9169,-80.8964,South
South Dakota,50338.0,834708.0,36.8,26311.0,13.710662890495838,2.5594579182181074,2014,44.4443,-100.2263,North
Tennessee,44621.0,6451365.0,38.3,24811.0,17.38149988413305,4.60087128847926,2014,35.858000000000004,-86.3505,South
Texas,52576.0,26092033.0,33.9,26513.0,17.246774139830347,3.7658238436230707,2014,31.4757,-99.3312,South
Utah,59846.0,2858111.0,29.9,24312.0,12.549617562089086,3.3496949558642055,2014,39.3055,-111.6703,South
Vermont,54447.0,626358.0,42.2,29535.0,11.50204834934654,3.4553721673547715,2014,44.0687,-72.6658,North
Virginia,64792.0,8185131.0,37.6,33958.0,11.169485253198758,3.583449061475009,2014,37.5215,-78.8537,South
Washington,60294.0,6899123.0,37.4,31233.0,13.282325884029028,4.4781778785506505,2014,47.3826,-120.4472,South
West Virginia,41576.0,1853881.0,41.6,23237.0,17.596868407411264,3.615927883181283,2014,38.6409,-80.6227,South
Wisconsin,52738.0,5724692.0,38.8,27907.0,12.901253028110508,3.8720336395390356,2014,44.6243,-89.9941,North
Wyoming,58252.0,575251.0,36.8,29381.0,11.346525255931759,2.772702698474231,2014,42.9957,-107.5512,North
Alabama,43623.0,4830620.0,38.4,24091.0,18.367414534780213,4.287172247040752,2015,32.7794,-86.8287,South
Alaska,72515.0,733375.0,33.4,33413.0,9.948116584284984,4.265893983296404,2015,64.0685,-152.2782,North
Arizona,50255.0,6641928.0,36.8,25848.0,17.776314347279886,4.151083841920599,2015,34.2744,-111.6602,South
Arkansas,41371.0,2958208.0,37.7,22798.0,18.71551966595993,3.5475193089870625,2015,34.8938,-92.4426,South
California,61818.0,38421464.0,35.8,30318.0,15.968006841176068,4.92193894537699,2015,37.1841,-119.4696,South
Colorado,60629.0,5278906.0,36.3,32217.0,12.388343342351616,3.704896431192372,2015,38.9972,-105.5478,South
Connecticut,70331.0,3593222.0,40.4,38803.0,10.195612739763922,4.794916651406454,2015,41.6219,-72.7273,North
Delaware,60509.0,926454.0,39.3,30554.0,11.691352188020128,3.909854131991443,2015,38.9896,-75.505,South
District of Columbia,70848.0,647484.0,33.7,47675.0,17.045208839137338,5.530793038901347,2015,38.9101,-77.0147,South
Florida,47507.0,19645772.0,41.4,26829.0,16.187243748934886,4.662458670496634,2015,28.6305,-82.4497,South
Georgia,49620.0,10006693.0,35.9,25737.0,17.877504586180468,4.686183537358446,2015,32.6415,-83.4426,South
Hawaii,69515.0,1406299.0,38.0,29822.0,10.946747455555327,3.0070418879626595,2015,20.2927,-156.3737,South
Idaho,47583.0,1616547.0,35.5,23399.0,15.166710278142238,3.421614094734023,2015,44.3509,-114.613,North
Illinois,57574.0,12873761.0,37.3,30494.0,13.990612378154294,4.726792737569076,2015,40.0417,-89.1965,North
Indiana,49255.0,6568645.0,37.3,25346.0,14.889570071148617,3.9390011181910425,2015,39.8942,-86.2816,North
Iowa,53183.0,3093526.0,38.1,27950.0,12.085982144646595,2.6421306948769785,2015,42.0751,-93.49600000000001,North
Kansas,52205.0,2892987.0,36.0,27706.0,13.181981115020566,3.0575318865933374,2015,38.4937,-98.3804,South
Kentucky,43740.0,4397353.0,38.5,24063.0,18.325592691785264,3.963930118869238,2015,37.5347,-85.3021,South
Louisiana,45047.0,4625253.0,36.1,24981.0,19.20500348845782,3.8516811945206024,2015,31.0689,-91.9968,South
Maine,49331.0,1329100.0,43.8,27655.0,13.563915431494996,3.5736212474606877,2015,45.3695,-69.2428,North
Maryland,74551.0,5930538.0,38.2,36897.0,9.726014739303585,4.013581904373599,2015,39.055,-76.7909,South
Massachusetts,68563.0,6705586.0,39.3,36895.0,11.168375142754115,4.178068851849786,2015,42.2596,-71.8083,North
Michigan,49576.0,9900571.0,39.5,26607.0,16.331078278212438,4.825438856001336,2015,44.3467,-85.4102,North
Minnesota,61492.0,5419171.0,37.7,32157.0,11.010208018901784,3.0957502540517727,2015,46.2807,-94.3053,North
Mississippi,39665.0,2988081.0,36.5,21057.0,21.80479712564686,4.63324120062341,2015,32.7364,-89.6678,South
Missouri,48173.0,6045448.0,38.2,26259.0,15.151432945912363,3.7470837562410595,2015,38.3566,-92.458,North
Montana,47169.0,1014699.0,39.7,26381.0,14.840460077323423,3.1892216312423685,2015,47.0527,-109.6333,South
Nebraska,52997.0,1869365.0,36.2,27882.0,12.363289138290275,2.5464261928515834,2015,41.5378,-99.7951,North
Nevada,51847.0,2798636.0,37.2,26541.0,15.233742437387356,5.304977138863361,2015,39.3289,-116.6312,South
New Hampshire,66779.0,1324201.0,42.2,34362.0,8.596882195376685,3.2270780644328165,2015,43.6805,-71.5811,North
New Jersey,72093.0,8904413.0,39.4,36582.0,10.610997041579271,4.642001668161618,2015,40.1907,-74.6728,North
New Mexico,44963.0,2084117.0,37.0,24012.0,20.601578510227593,4.266747020440791,2015,34.4071,-106.1126,South
New York,59269.0,19673174.0,38.1,33236.0,15.279400263526364,4.214576661600208,2015,42.9538,-75.5268,North
North Carolina,46868.0,9845333.0,38.0,25920.0,16.936603363238195,4.605430816814423,2015,35.5557,-79.3877,South
