Community Area Name,Homicide_rate_per_100k,Homicide,Violence,Property Crimes,Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Birth Rate,General Fertility Rate,Low Birth Weight,Preterm Births,Teen Birth Rate,Below Poverty Level,Dependency,Unemployment
Humboldt Park,29.0,155,24160,23111,26.30000000000657,211.09999999995256,26.600000000045465,94.09999999984306,48.0,52.5,53.5,19.199999999969943,80.70000000012341,12.300000000020795,11.699999999980529,77.9000000001121,32.60000000005424,38.29999999994615,12.300000000020795
Hyde Park,5.800000000001793,9,3071,8861,33.59999999998906,144.0,11.70000000000278,34.0,34.900000000011396,24.09999999999393,26.0,9.700000000000953,33.900000000011055,5.899999999998572,5.5,7.60000000000241,18.200000000005947,26.700000000007762,6.8999999999979345
Irving Park,4.100000000002539,13,7489,13353,29.900000000016078,169.40000000004724,19.19999999999828,60.199999999967744,41.30000000002572,17.900000000011254,42.0,15.799999999992071,67.1000000000418,7.7000000000046525,10.200000000006364,37.0,10.799999999993343,31.599999999984142,10.299999999993585
Jefferson Park,4.800000000000789,5,2289,3909,18.399999999996396,208.199999999986,23.20000000000462,49.20000000000641,55.700000000000216,32.09999999999702,41.900000000007736,13.80000000000016,67.80000000000814,6.5999999999996515,7.699999999998412,28.599999999999493,6.400000000000541,34.40000000000434,9.0
Kenwood,15.200000000004591,11,4488,6430,30.90000000000941,196.39999999994174,34.20000000000357,45.5,49.099999999985435,46.19999999999055,31.5,12.200000000002856,51.0999999999851,11.39999999999653,11.899999999996432,25.700000000007467,23.099999999995276,34.20000000000357,11.0
Lake View,1.4000000000000554,14,8344,28450,20.09999999998836,126.900000000107,13.0,38.5,32.5,17.0,24.399999999993177,13.5,38.6999999999686,6.299999999993582,8.099999999992967,15.800000000013243,10.5,16.5,4.700000000004642
Lincoln Park,0.700000000000501,6,5260,25907,23.69999999998084,152.90000000010062,16.69999999999233,50.10000000004128,40.0,27.30000000002277,35.300000000028156,13.200000000002643,38.69999999997022,6.600000000001321,7.799999999993562,2.100000000000988,11.799999999991801,20.40000000001532,4.5
Lincoln Square,5.0,6,3753,8240,21.700000000007464,153.2000000000348,8.600000000003186,55.40000000001158,43.09999999998513,27.59999999998985,36.90000000001345,17.09999999999792,61.0,8.100000000003021,9.700000000002298,38.40000000001384,9.5,25.599999999990878,6.800000000001688
Logan Square,8.599999999990322,40,12754,27749,9.200000000004307,148.7000000000607,13.699999999987595,75.70000000008733,37.699999999987625,17.5,31.899999999965555,18.19999999997915,63.5,7.200000000007577,9.400000000010834,66.10000000006481,17.199999999980644,26.69999999997097,7.5
Loop,0.6999999999998224,6,7008,33430,20.199999999977678,120.09999999988844,10.800000000001221,26.80000000002829,29.199999999970213,17.199999999981905,39.0,9.40000000001026,27.699999999971123,5.2999999999941325,6.90000000000554,1.3000000000014391,11.099999999987745,15.5,4.200000000004353
Lower West Side,11.70000000000607,34,6875,9557,27.19999999999177,141.2999999999318,11.900000000001375,61.89999999997424,27.800000000009057,14.299999999992915,39.19999999998004,16.5,68.19999999996872,4.5,8.799999999995764,49.0,27.19999999999177,35.199999999983056,13.0
McKinley Park,5.099999999998997,10,2524,4869,32.70000000000713,148.39999999997048,14.200000000001252,61.40000000001368,38.29999999999222,0.0,51.69999999999909,16.70000000000281,73.9000000000153,7.300000000001647,9.899999999997904,47.900000000010955,16.10000000000353,33.700000000007265,11.899999999997279
Montclaire,8.599999999999017,5,1482,2937,29.899999999996343,151.0,15.39999999999838,89.59999999998827,33.399999999996126,21.899999999997128,40.299999999994775,17.100000000002037,83.5,8.300000000000963,8.800000000001074,61.5,12.800000000001646,35.0,10.800000000001411
Morgan Park,19.900000000008102,28,5949,8305,32.400000000013954,218.2000000000976,27.099999999987865,75.39999999997097,50.0,39.800000000016205,47.90000000000778,13.200000000005918,67.5,10.600000000004039,12.2999999999945,46.699999999979326,13.700000000006128,39.40000000001561,14.900000000003006
Mount Greenwood,2.200000000000233,1,1470,2115,34.60000000000381,201.10000000000446,24.79999999999959,66.5,55.0,16.8999999999983,26.70000000000121,12.5,59.0,8.400000000000936,15.100000000001211,7.699999999999352,3.0999999999999486,37.0,6.900000000000824
Near North Side,3.700000000006332,32,15344,42411,24.0,142.69999999981889,15.100000000009858,27.0,33.60000000005571,15.100000000009858,22.0,10.699999999982813,35.8999999999419,8.599999999985856,9.599999999984902,34.0,13.400000000000706,23.300000000029602,5.200000000007863
Near South Side,4.80000000000188,11,3795,7915,31.90000000001336,169.0,19.20000000000752,61.5,46.19999999998083,51.40000000000538,52.4000000000035,21.400000000008497,72.89999999997633,8.79999999999735,10.899999999995996,50.900000000006344,11.100000000004039,21.0,5.6999999999979565
Near West Side,12.699999999982277,65,15980,34402,33.39999999995074,202.0,19.199999999972512,62.29999999990781,66.20000000009772,33.600000000049526,43.5,18.19999999997356,55.60000000004909,9.0,10.5,36.70000000002658,21.600000000025307,22.89999999997084,10.699999999987664
New City,26.600000000023574,101,17494,17936,23.60000000001473,235.1999999997584,29.199999999969272,83.70000000009783,69.39999999994598,40.70000000000443,50.20000000003884,21.399999999993323,93.4000000000556,11.800000000007367,12.199999999991348,94.29999999989222,30.600000000032672,42.0,17.4000000000132
North Center,1.0,5,2456,8239,16.600000000001458,152.1000000000499,26.09999999999245,49.80000000001358,42.40000000001359,15.10000000000392,41.59999999998659,22.40000000000495,76.19999999997499,9.100000000002998,9.799999999998837,8.399999999997236,7.100000000002205,25.5,4.5
